Job Title,Location,Company,Key Skills
ML Engineer,Remote,Protiviti India,"Docker,Machine Learning,Python,Kubernetes,SQL,Natural Language Processing,Spark,Ml"
Ml Engineer - Docker,Remote,Protiviti India,"Docker,Machine Learning,Python,SQL,Natural Language Processing,Kubernetes,Processing,Languages"
ML Engineer,Bangalore/Bengaluru,Aritha Consulting Services,"algorithms,python,data analysis,natural language processing,neural networks,machine learning,artificial intelligence,sql"
ML Engineer,Bangalore/Bengaluru,Deliverhealth,"Computer science,ASR,Cloud computing,Machine learning,SCALA,Healthcare,Data processing,Natural language processing"
ML Engineer,Bengaluru(Indira Nagar),Healthifyme,"Natural Language Processing,Computer Vision,Deep Learning,Pytorch,Computer,Process,Processing,Vision"
ML Engineer,Bangalore/Bengaluru,Aritha,"PyTorch,Packaging,Programming,Neural Networks,Scikit-learn,Deep Learning,Python,Model Development"
Principal ML Engineer,Bangalore/Bengaluru,"Advanced Micro Devices, Inc","Mahine learning,Open soure,Seletion proess,Debugging,Reruitment,Artifiial Intelligene,Gag,Programg"
Python ML Engineer,Mohali,Linkageit,"Data Science,Engineer,Algorithms,Machine Learning,Modeling,Deep Learning,Python,Science"
Lead - ML Engineer / ML Scientist,Bangalore/Bengaluru,Arting Digital,"Redhat,orchestration,Machine learning,Manager Technology,model development,Deployment,Management,big data"
ML Engineer,Chennai,MPS,"AI,ML,PIL,NLG,LLM,PPA,Artificial Intelligence,NISA"
ML Engineer NLP (Contractual Role),Remote,Protiviti India,"Docker,Natural Language Processing,Big Data,Machine Learning,Kubernetes,SQL,Python,Machine"
ML Engineer,"Pimpri-Chinchwad, Maharashtra, Pune, Maharashtra",Provakil Technologies,"Nltk,Huggingface,Artificial Intelligence,Natural Language Processing,Machine Learning,Generative AI,Spacey,Spacy"
ML Ops Engineer,Bangalore/Bengaluru,Deliverhealth,"Computer science,ASR,Cloud computing,GCP,Machine learning,Healthcare,Troubleshooting,Operations"
Sr. ML Engineer,Gurugram,Unlimit,"Object oriented design,Automation,Data analysis,Backend,MySQL,Machine learning,Data structures,Financial services"
ML Engineer #Restart,"Hybrid - Pune, Maharashtra, Thiruvananthapuram, Kerala",ALLIANZ SERVICES PRIVATE LIMITED,"ML Engineer,MLOPS,Data Science,Data,Ml,Science"
ML Engineer,"Noida, Uttar Pradesh, Pune, Maharashtra",upGrad,"Gen AI,ML,Pytorch,Tensorflow,LLM,Gen,Artificial Intelligence"
ML Ops Engineer,Mumbai,Accrete.AI,"Supply chain,Computer science,Cloud computing,Automation,Machine learning,Firmware,Open source,Information technology"
Sr/Lead ML Engineer,Chennai,One of the Clients of Prodigy Recruitment Consultants,"Computer Vision,LLM,Machine Learning,Deep Learning,OCR,Artificial Intelligence,Natural Language Processing,Vision"
ML Engineer,"Nagpur, Maharashtra",Appynitty Communications,"Deep Learning,ML,Python,Keras,AWS,Scikit-Learn,Numpy,TensorFlow"
ML Engineer,Pune,Keywords Studios,"Computer science,Training,deep learning,Talent acquisition,Machine learning,Computer graphics,Natural language processing,Gaming"
Sr. ML Engineer,Pune,Keywords Studios,"Computer science,deep learning,Prototype,Talent acquisition,Machine learning,Computer graphics,Natural language processing,Open source"
ML Engineer,"Pune, Maharashtra",N-tek Consulting,"Opencv,Natural Language Processing,AWS,Machine Learning,Python,GCP,Ml,Machine"
Sr. ML Engineer,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Ford,"Solution architecture,deep learning,continuous integration,Usage,Version control,Agile development,Machine learning,test driven development"
Senior ML Engineer-HTHD,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Ford,"Computer vision,deep learning,Backend,Image processing,GCP,Machine learning,Agile,Robotics"
Sr. ML Engineer,"Kochi, Kerala",GenNext India Private Limited,"Machine Learning,Devops,Machine,Ml"
ML Engineer,Bangalore/Bengaluru,Useready,"Machine Learning,python,natural language processing,neural networks,jupyter notebook,artificial intelligence,sql,deep learning"
ML Engineer,"Bengaluru, Delhi / NCR",PwC Service Delivery Center,"audio & video editing,Machine Learning,Python,Audio,Editing,Video,Ml,Video editing"
ML Ops Engineer,Mumbai,Blenheim Chalcot,"Computer science,Cloud computing,data science,GCP,Machine learning,Automation tools,Management,Operations"
Sr. ML Engineer,Bangalore/Bengaluru,Beckman Coulter India Pvt Ltd,"Computer science,Computer vision,Cloud computing,Version control,Diagnostics,Machine learning,Algorithm development,Healthcare"
ML Engineer,"Pune, Maharashtra, Thiruvananthapuram, Kerala",ALLIANZ SERVICES PRIVATE LIMITED,"Azure Cloud Platform,Devops,GPU,Jenkins,MLOps,Aws Cloud,Ci/Cd,ML"
Sr. ML Engineer,"Pune, Maharashtra, Thiruvananthapuram, Kerala",ALLIANZ SERVICES PRIVATE LIMITED,"ML Development,Production,Model managment,Model monitoring,Devops,Development,Monitoring,Ml"
ML Engineer,Hyderabad,"Qualcomm Technologies, Inc","Wireless,Computer science,C++,Data modeling,Coding,Machine learning,Business intelligence,Principal"
ML Engineer,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Miracle Solution,"Networking,Data modeling,Machine learning,Manager Technology,Technology,Modeling,Management,Ml"
ML Engineer (Fraud Detection) - Immd JOiner - BGL or Chennai,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Decision Minds,"Frauid Mgt,PyTorch,Pandas,Machine Learning,Python,Tensor Flow,Numpy,Machine"
Databricks ML Engineer,"Hybrid - Hyderabad, Pune, Maharashtra, Bengaluru, Karnataka",KPI Partners,"python,spark,databricks,Machine Learning,sql,Data Bricks,Machine,Ml"
Sr. ML Engineer,Bangalore/Bengaluru,Qliktech,"deep learning,C++,Automation,Machine learning,Product design,Data quality,Monitoring,Team building"
ML Engineer,Bangalore/Bengaluru,Atlas Systems,"IT services,Computer science,deep learning,NoSQL,Artificial Intelligence,Machine learning,Application development,IT operations"
ML Engineer,Bangalore/Bengaluru,Cloudphysician Healthcare,"Unix,Computer science,Automation,Backend,Linux,Coding,Critical care,Healthcare"
ML Engineer,Bangalore/Bengaluru,Appriffy-digital It Hub,"RTOS,C++,Linux,Image processing,Debugging,Data structures,HR,Mantis"
ML Engineer,Bangalore/Bengaluru,Spearhead,"Business process,SAN,Cloud computing,PDF,SOC,SMS,Application development,CRM"
ML Engineer,"Pune, Gurugram, Bengaluru",IT Services & Consulting,"Machine Learning,Front End Development,ML Engineer,DevOps,OOPS,Agile,Python,Front end"
ML Engineer,Bangalore/Bengaluru,Diverse Lynx,"Computer science,Automation,Data analysis,Prototype,Data modeling,Debugging,Machine learning,Javascript"
ML Engineer,Bangalore/Bengaluru,Coders Brain Pvt Ltd,"SIDE,Prototype,Networking,Machine learning,CRE,Manager Technology,power bi,Business solutions"
ML Engineer,Gurugram,Care Health Insurance (CHI),"Pytorch,Deep Learning Frameworks,Natural Language Processing,Machine Learning Algorithms,Python,Generative AI,Aws Sagemaker,Computer Vision"
Sr. ML Engineer,Chennai,IDP Connect,"Automation,Manager Quality Assurance,data security,Machine learning,Data structures,Deployment,Python,Technical documentation"
Sr. ML Engineer,Chennai,IDP,"Automation,Manager Quality Assurance,data security,Machine learning,Data structures,Deployment,Python,Technical documentation"
Sr. ML Engineer,Chennai,Capestart Software,"deep learning,data science,spark,Analytical,Machine learning,Hadoop,Data structures,big data"
ML Engineer,Chennai,Diverse Lynx,"model development,Python,Development,Ml"
ML Engineer,"Hyderabad, Ahmedabad",TechBlocks,"Machine Learning,Hadoop,Spark,Spark ML,Deep Learning,Python,Machine,Ml"
Sr. ML Engineer,Ahmedabad,Mindarray Systems,"Computer science,software architecture,data science,Data modeling,Analytical,Artificial Intelligence,Machine learning,Data structures"
ML Engineer,Coimbatore,Hellosivi,"Training,Basic,SIDE,Cloud,Javascript,ml"
Sr. ML Engineer,Pune,Rudder Analytics,"ML Engineer,Senior,Ml"
ML Engineer,Guwahati,Boldtek,"Business process,Computer science,Solution architecture,PDF,Analytical,Data collection,Agile,Application development"
ML Engineer,New Delhi,Naviga Global,"advanced analytics,data science,Agile scrum,Coding,Debugging,Machine learning,Technical leadership,Subject Matter Expert"
ML Engineer,Pune,Global Pharma Tek,"Computer science,Analytical,Agile development,Machine learning,model development,Deployment,Mentor,Research"
Sr. ML Engineer,Thiruvananthapuram,Nissan Technical Centre,"Operations research,data science,Machine learning,Agile,Data collection,Data mining,Open source,Automotive"
ML Engineer,Mumbai,Paramount Health Services,"Training,Linux,Opencv,Analytical,Machine learning,Data collection,Deployment,Hardware"
ML Engineer,Nagercoil,Capestart Software,"deep learning,data science,spark,Analytical,Machine learning,Hadoop,Data structures,big data"
SMTS ML Engineer,Hyderabad,Atai Labs,"deep learning,C++,Machine learning,Technical leadership,Programming,Development Lead,System design,big data"
ML Engineer,Gurugram,Diverse Lynx,"data science,GCP,Machine learning,Debugging,Cloud,Javascript,Agile,AWS"
Sr. ML Ops Engineer,Bangalore/Bengaluru,Aptiv,"kubernetes,continuous integration,algorithms,c++,data pipeline,bitbucket,gerrit,docker"
ML Engineer,Mumbai,Paramount Health Services,"Natural Language Processing,Machine Learning,Deep Learning,Ml Algorithms,Python,Processing,Languages,Process"
ML Ops Engineer,Bangalore/Bengaluru,Relic Consultancy Services,"Automation testing,orchestration,Linux,data science,GCP,Cloud,Ruby,Monitoring"
ML Ops Engineer,Bangalore/Bengaluru,Coders Brain Pvt Ltd,"orchestration,HR Executive,Linux,GCP,Shell scripting,Cloud,Deployment,Monitoring"
Data Scientists/AI Engineer/ ML Engineer,Bangalore/Bengaluru,ACL Digital,"Tensorflow,Machine Learning,Deep Learning,Python,Azure,PostGresSQL,FAST API,Pytorch"
Data Scientists and ML Engineer,Kozhikode,Tata Elxsi,"Engineering services,C++,Product engineering,Analytical,Machine learning,System design,MATLAB,Automotive"
ML Ops Engineer,"Pune, Maharashtra",Applied Artificial Intelligence Consulting,"Data Science,GIT,Cicd Pipeline,Azure Databricks,Machine Learning,Ops,Cd,Microsoft Azure"
Sr. ML Ops Engineer,Hyderabad,Quantium Analytics,"Unix,Automation,Linux,data security,Artificial Intelligence,Machine learning,Ruby,Operations"
ML Ops Engineer,Hyderabad,Quantium Analytics,"Unix,Automation,Linux,data security,Artificial Intelligence,Machine learning,Ruby,Operations"
ML Ops Engineer,Hyderabad,Trackmind,"Computer science,Automation,Version control,GIT,orchestration,Compliance,Machine learning,Workflow"
ML NLP Engineer -  Pune - Immediate Opening,Hybrid - Pune(Baner),Digitalmain,"Machine Learning,NLP,Python,Tensorflow,Solr,LLM,Deep Learning,Pytorch"
Sr. ML Ops Engineer,Gurugram,Siemens Energy,"Coding,GCP,Artificial Intelligence,Machine learning,Agile,Siemens,AWS,Monitoring"
ML Ops Engineer,Hyderabad,Enable Data Incorporated,"Engineering services,Operations research,Automation testing,orchestration,data science,Analytical,Machine learning,Deployment"
Senior Engineer ML/DS,Hyderabad,"TechSophy, Inc","GIS,IT services,SAN,PDF,Machine learning,SMS,Genetics,Risk management"
Engineer(ML/CV),Ahmedabad,Lidar Tech,"Computer vision,deep learning,C++,Coding,Debugging,Manager Technology,Electronics,Healthcare"
ML Ops Engineer,"Mumbai, Pune",IT Services & Consulting,"Azure Data Bricks,Azure ML,Machine Learning Operations,GitHub,Prometheus,Grafana,YAML,DevOps"
Data Scientist/AI or ML Engineer,Hybrid - Chennai(Royapettah),Finsire,"Data Science,Predictive Modeling,Artificial Intelligence,Statistical Modeling,Machine Learning,Deep Learning,Science,Modeling"
ML Engineer / Data Scientist,"New Delhi, Hyderabad",Spotflock Technologies,"Computer science,Product engineering,Linux,Artificial Intelligence,Machine learning,Agile,Data collection,HTML"
Data Scientist / ML Engineer,Kolkata,Pursuit Software Development,"Product management,Computer science,Data analysis,Analytical,Machine learning,Data structures,Pattern recognition,Data mining"
Data Analyst/Data Scientist,Bangalore/Bengaluru,Applied Materials,"Data Science,SAS,Hadoop,Tableau,AI / ML models,LLM,MATlab,SQL"
"Data Scientist (Hyderabad, Pune, Chennai, Bangalore/Mumbai/Noida)","Hybrid - Hyderabad, Telangana, Chennai, Bengaluru",Tech Mahindra,"Machine Learning,Python,ML Modes,Data,Machine,Ml"
"Data Scientist @ Nttdata, Bangalore","Bangalore Rural, Karnataka",NTT DATA BUSINESS SOLUTIONS,"Data Science,NLP,Python,Machine Learning,ML,Machine,Science,Natural language processing"
Data Analyst/Data Scientist,Bangalore/Bengaluru,Philips,"EMI,Computer vision,C++,Image processing,Diagnostics,Healthcare,EMC,MATLAB"
Full Stack  Data Scientist # Kochi Walk-In Drive,"Hybrid - Pune, Maharashtra, Thiruvananthapuram, Kerala",ALLIANZ SERVICES PRIVATE LIMITED,"Data Science,Full Stack,Deep Learning,Ml,Python,Data,Science,Stack"
"Data Analyst II, Data Analytics",Bangalore/Bengaluru,Walmart,"Cloud computing,Data analysis,data science,Web analytics,Enterprise architecture,SEZ,Open source,Monitoring"
Hiring Data Scientists,"Hyderabad, Bengaluru",Indium Software,"Data scientist,NLP,Computer Vision,Python,SQL,Data Science,ML,Hiring"
Data Analyst/Data Scientist,Bangalore/Bengaluru,Netapp,"Natural Language Processing,deep learning,data science,Data Scientist,ML algorithms,machine learning,artificial intelligence,Process"
Data Scientist (NLP),Bangalore/Bengaluru,E-Learning Platform,"Natural Language Processing,Python,GenAI,Pytorch,GenerativeAI,NLP,Keras,LLM"
Data Analyst/Data Scientist,Kochi,IBM,"python,github,database management,data science,communication skills,natural language processing,microsoft azure,engineering"
Payer Data Analyst,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Agilite Global Solutions,"Health insurance,Data analysis,Claims,Project estimation,Pharma,Agile,Healthcare,Life sciences"
Senior  Analyst/ Data Scientist,"Hybrid - Hyderabad, Bangalore Rural, Karnataka, Chennai",Tiger Analytics,"Data Science,Linear Regression,Regression,Machine Learning,Python,Logistic Regression,NLP,Classification"
Data Analysis & Interpretation-Application Developer,Bangalore/Bengaluru,Accenture,"data analysis,project development,data engineering,plsql,talend etl,ab initio,snowflake,python"
Data Analysis & Interpretation-Application Developer,Bangalore/Bengaluru,Accenture,"data analysis,project development,data engineering,plsql,talend etl,ab initio,snowflake,python"
5G Wireless Big Data and ML Engineer,Hyderabad,Qualcomm,"Big Data,SageMaker,QuickSight,Java,C++,C,Glue,LLM"
Data Analyst/Data Scientist,"Mumbai, Coimbatore, Bengaluru",Course5 Intelligence,"Data Science,ML Ops,NLP,data analysis,data manipulation,AI,CPG,Ops"
Staff Data Scientist - ( AI / ML Team ),Bangalore/Bengaluru,Discovery Communications,"Data science,Pytorch,Machine learning algorithms,R,NLP,scikit-learn,Keras,Spark"
Data Analyst/Data Scientist,Kochi,IBM,"python,github,database management,data science,communication skills,natural language processing,big data technologies,microsoft azure"
ML Engineer,Pune,Gibots,"software architecture,Statistical analysis,PDF,data science,Data modeling,Analytical,Machine learning,Data structures"
Job Opportunity For Data Scientist position - TS UST - Hybrid,"Hybrid - Hyderabad, Chennai, Bengaluru",Talent Sketchers,"Pytorch,Data Science,Tensorflow,Pyspark,Graph,Spark,Machine Learning,Data Bricks"
Analyst / Data Analyst/ Business Analyst,"Hybrid - Mangaluru, Karnataka, Mysuru, Karnataka, Bengaluru, Karnataka",Milestone Online Technology,"Finance,Reporting,MIS Reporting,Excel Report Preparation,Business Analysis,Pivot Table,Excel,Analysis"
